obsnme obsval weight obgnme
DIN_17_03_2011 824.254 4.56E-04 DIN
DIN_18_03_2011 390.330 4.56E-04 DIN
DIN_19_03_2011 195.983 4.56E-04 DIN
DIN_20_03_2011 137.082 4.56E-04 DIN
DIN_21_03_2011 138.213 4.56E-04 DIN
DIN_22_03_2011 107.757 4.56E-04 DIN
DIN_23_03_2011 89.015 4.56E-04 DIN
DIN_24_03_2011 67.878 4.56E-04 DIN
DIN_25_03_2011 837.998 4.56E-04 DIN
DIN_26_03_2011 956.898 4.56E-04 DIN
DIN_27_03_2011 531.234 4.56E-04 DIN
DIN_28_03_2011 455.299 4.56E-04 DIN
DIN_29_03_2011 789.585 4.56E-04 DIN
DIN_30_03_2011 1,637.643 4.56E-04 DIN
DIN_31_03_2011 3,813.042 4.56E-04 DIN
DIN_01_04_2011 1,872.358 4.56E-04 DIN
DIN_02_04_2011 1,935.430 4.56E-04 DIN
DIN_03_04_2011 1,115.761 4.56E-04 DIN
DIN_04_04_2011 768.976 4.56E-04 DIN
DIN_05_04_2011 434.196 4.56E-04 DIN
DIN_06_04_2011 240.208 4.56E-04 DIN
DIN_07_04_2011 129.987 4.56E-04 DIN
DIN_08_04_2011 82.328 4.56E-04 DIN
DIN_09_04_2011 40.083 4.56E-04 DIN
DIN_10_04_2011 30.045 4.56E-04 DIN
DIN_11_04_2011 19.517 4.56E-04 DIN
DIN_12_04_2011 17.046 4.56E-04 DIN
DIN_13_04_2011 13.157 4.56E-04 DIN
DIN_14_04_2011 10.928 4.56E-04 DIN
DIN_15_04_2011 16.118 4.56E-04 DIN
DIN_16_04_2011 5.115 4.56E-04 DIN
DIN_17_04_2011 0.180 4.56E-04 DIN
DIN_18_04_2011 6.930 4.56E-04 DIN
DIN_19_04_2011 4.348 4.56E-04 DIN
DIN_20_04_2011 0.004 4.56E-04 DIN
DIN_21_04_2011 20.693 4.56E-04 DIN
DIN_22_04_2011 0.004 4.56E-04 DIN
DIN_23_04_2011 0.004 4.56E-04 DIN
DIN_24_04_2011 5.100 4.56E-04 DIN
DIN_25_04_2011 2.177 4.56E-04 DIN
DIN_26_04_2011 1.980 4.56E-04 DIN
DIN_27_04_2011 6.136 4.56E-04 DIN
DIN_28_04_2011 7.661 4.56E-04 DIN
DIN_29_04_2011 0.004 4.56E-04 DIN
DIN_30_04_2011 0.463 4.56E-04 DIN
DIN_01_05_2011 0.004 4.56E-04 DIN
DIN_02_05_2011 10.772 4.56E-04 DIN
DIN_03_05_2011 4.997 4.56E-04 DIN
DIN_04_05_2011 3.631 4.56E-04 DIN
DIN_05_05_2011 0.004 4.56E-04 DIN
DIN_06_05_2011 0.004 4.56E-04 DIN
DIN_07_05_2011 1.152 4.56E-04 DIN
DIN_08_05_2011 5.677 4.56E-04 DIN
DIN_09_05_2011 0.517 4.56E-04 DIN
DIN_10_05_2011 1.272 4.56E-04 DIN
DIN_11_05_2011 13.272 4.56E-04 DIN
DIN_12_05_2011 0.004 4.56E-04 DIN
DIN_13_05_2011 12.444 4.56E-04 DIN
DIN_14_05_2011 2.299 4.56E-04 DIN
DIN_15_05_2011 0.004 4.56E-04 DIN
DIN_16_05_2011 0.004 4.56E-04 DIN
DIN_17_05_2011 0.004 4.56E-04 DIN
DIN_18_05_2011 6.110 4.56E-04 DIN
DIN_19_05_2011 2.515 4.56E-04 DIN
DIN_20_05_2011 1.242 4.56E-04 DIN
DIN_21_05_2011 5.706 4.56E-04 DIN
DIN_22_05_2011 3.387 4.56E-04 DIN
DIN_23_05_2011 6.760 4.56E-04 DIN
DIN_24_05_2011 11.434 4.56E-04 DIN
DIN_25_05_2011 34.994 4.56E-04 DIN
DIN_26_05_2011 24.574 4.56E-04 DIN
DIN_27_05_2011 14.463 4.56E-04 DIN
DIN_28_05_2011 12.080 4.56E-04 DIN
DIN_29_05_2011 23.218 4.56E-04 DIN
DIN_30_05_2011 18.961 4.56E-04 DIN
DIN_31_05_2011 13.284 4.56E-04 DIN
DIN_01_06_2011 9.644 4.56E-04 DIN
DIN_02_06_2011 11.371 4.56E-04 DIN
DIN_03_06_2011 7.562 4.56E-04 DIN
DIN_04_06_2011 4.410 4.56E-04 DIN
DIN_05_06_2011 8.078 4.56E-04 DIN
DIN_06_06_2011 0.004 4.56E-04 DIN
DIN_07_06_2011 0.488 4.56E-04 DIN
DIN_08_06_2011 7.209 4.56E-04 DIN
DIN_09_06_2011 11.979 4.56E-04 DIN
DIN_10_06_2011 0.004 4.56E-04 DIN
DIN_11_06_2011 0.004 4.56E-04 DIN
DIN_12_06_2011 17.532 4.56E-04 DIN
DIN_13_06_2011 21.171 4.56E-04 DIN
DIN_14_06_2011 13.328 4.56E-04 DIN
DIN_15_06_2011 25.535 4.56E-04 DIN
DIN_16_06_2011 11.792 4.56E-04 DIN
DIN_17_06_2011 21.534 4.56E-04 DIN
DIN_18_06_2011 15.244 4.56E-04 DIN
DIN_19_06_2011 10.110 4.56E-04 DIN
DIN_20_06_2011 7.982 4.56E-04 DIN
DIN_21_06_2011 7.085 4.56E-04 DIN
DIN_22_06_2011 14.955 4.56E-04 DIN
DIN_23_06_2011 3.189 4.56E-04 DIN
DIN_24_06_2011 1.147 4.56E-04 DIN
DIN_25_06_2011 0.753 4.56E-04 DIN
DIN_26_06_2011 2.421 4.56E-04 DIN
DIN_27_06_2011 4.940 4.56E-04 DIN
DIN_28_06_2011 7.994 4.56E-04 DIN
DIN_29_06_2011 5.504 4.56E-04 DIN
DIN_30_06_2011 8.159 4.56E-04 DIN
DIN_01_07_2011 5.416 4.56E-04 DIN
DIN_02_07_2011 7.029 4.56E-04 DIN
DIN_03_07_2011 0.004 4.56E-04 DIN
DIN_04_07_2011 3.643 4.56E-04 DIN
DIN_05_07_2011 5.622 4.56E-04 DIN
DIN_06_07_2011 0.004 4.56E-04 DIN
DIN_07_07_2011 0.004 4.56E-04 DIN
DIN_08_07_2011 7.274 4.56E-04 DIN
DIN_09_07_2011 4.288 4.56E-04 DIN
DIN_10_07_2011 1.266 4.56E-04 DIN
DIN_11_07_2011 8.246 4.56E-04 DIN
DIN_12_07_2011 0.004 4.56E-04 DIN
DIN_13_07_2011 2.197 4.56E-04 DIN
DIN_14_07_2011 2.538 4.56E-04 DIN
DIN_15_07_2011 3.470 4.56E-04 DIN
DIN_16_07_2011 0.004 4.56E-04 DIN
DIN_17_07_2011 0.004 4.56E-04 DIN
DIN_18_07_2011 1.408 4.56E-04 DIN
DIN_19_07_2011 0.719 4.56E-04 DIN
DIN_20_07_2011 0.004 4.56E-04 DIN
DIN_21_07_2011 0.004 4.56E-04 DIN
DIN_22_07_2011 3.214 4.56E-04 DIN
DIN_23_07_2011 4.129 4.56E-04 DIN
DIN_24_07_2011 0.749 4.56E-04 DIN
DIN_25_07_2011 7.973 4.56E-04 DIN
DIN_26_07_2011 0.004 4.56E-04 DIN
DIN_27_07_2011 4.525 4.56E-04 DIN
DIN_28_07_2011 7.211 4.56E-04 DIN
DIN_29_07_2011 3.904 4.56E-04 DIN
DIN_30_07_2011 2.393 4.56E-04 DIN
DIN_31_07_2011 1.100 4.56E-04 DIN
DIN_01_08_2011 0.419 4.56E-04 DIN
DIN_02_08_2011 6.452 4.56E-04 DIN
DIN_03_08_2011 5.919 4.56E-04 DIN
DIN_04_08_2011 0.004 4.56E-04 DIN
DIN_05_08_2011 0.004 4.56E-04 DIN
DIN_06_08_2011 0.004 4.56E-04 DIN
DIN_07_08_2011 0.004 4.56E-04 DIN
DIN_08_08_2011 0.004 4.56E-04 DIN
DIN_09_08_2011 3.343 4.56E-04 DIN
DIN_10_08_2011 0.004 4.56E-04 DIN
DIN_11_08_2011 0.004 4.56E-04 DIN
DIN_12_08_2011 12.557 4.56E-04 DIN
DIN_13_08_2011 0.004 4.56E-04 DIN
DIN_14_08_2011 0.004 4.56E-04 DIN
DIN_15_08_2011 13.319 4.56E-04 DIN
DIN_16_08_2011 9.835 4.56E-04 DIN
DIN_17_08_2011 0.004 4.56E-04 DIN
DIN_18_08_2011 7.363 4.56E-04 DIN
DIN_19_08_2011 0.004 4.56E-04 DIN
DIN_20_08_2011 1.259 4.56E-04 DIN
DIN_21_08_2011 3.022 4.56E-04 DIN
DIN_22_08_2011 1.849 4.56E-04 DIN
DIN_23_08_2011 0.004 4.56E-04 DIN
DIN_24_08_2011 0.944 4.56E-04 DIN
DIN_25_08_2011 0.004 4.56E-04 DIN
DIN_26_08_2011 0.384 4.56E-04 DIN
DIN_27_08_2011 0.004 4.56E-04 DIN
DIN_28_08_2011 0.004 4.56E-04 DIN
DIN_29_08_2011 8.590 4.56E-04 DIN
DIN_30_08_2011 0.004 4.56E-04 DIN
DIN_31_08_2011 7.853 4.56E-04 DIN
DIN_01_09_2011 9.211 4.56E-04 DIN
DIN_02_09_2011 8.330 4.56E-04 DIN
DIN_03_09_2011 6.992 4.56E-04 DIN
DIN_04_09_2011 0.004 4.56E-04 DIN
DIN_05_09_2011 6.750 4.56E-04 DIN
DIN_06_09_2011 1.123 4.56E-04 DIN
DIN_07_09_2011 3.781 4.56E-04 DIN
DIN_08_09_2011 4.323 4.56E-04 DIN
DIN_09_09_2011 14.422 4.56E-04 DIN
DIN_10_09_2011 0.004 4.56E-04 DIN
DIN_11_09_2011 5.490 4.56E-04 DIN
DIN_12_09_2011 0.356 4.56E-04 DIN
DIN_13_09_2011 0.004 4.56E-04 DIN
DIN_14_09_2011 0.132 4.56E-04 DIN
DIN_15_09_2011 3.308 4.56E-04 DIN
DIN_16_09_2011 0.004 4.56E-04 DIN
DIN_17_09_2011 0.004 4.56E-04 DIN
DIN_18_09_2011 2.998 4.56E-04 DIN
DIN_19_09_2011 0.004 4.56E-04 DIN
DIN_20_09_2011 0.004 4.56E-04 DIN
DIN_21_09_2011 0.004 4.56E-04 DIN
DIN_22_09_2011 8.094 4.56E-04 DIN
DIN_23_09_2011 0.004 4.56E-04 DIN
DIN_24_09_2011 5.249 4.56E-04 DIN
DIN_25_09_2011 0.004 4.56E-04 DIN
DIN_26_09_2011 0.004 4.56E-04 DIN
DIN_27_09_2011 2.947 4.56E-04 DIN
DIN_28_09_2011 0.004 4.56E-04 DIN
DIN_29_09_2011 0.004 4.56E-04 DIN
DIN_30_09_2011 2.514 4.56E-04 DIN
DIN_01_10_2011 3.593 4.56E-04 DIN
DIN_02_10_2011 6.173 4.56E-04 DIN
DIN_03_10_2011 0.004 4.56E-04 DIN
DIN_04_10_2011 0.879 4.56E-04 DIN
DIN_05_10_2011 0.004 4.56E-04 DIN
DIN_06_10_2011 4.956 4.56E-04 DIN
DIN_07_10_2011 6.509 4.56E-04 DIN
DIN_08_10_2011 1.457 4.56E-04 DIN
DIN_09_10_2011 1.928 4.56E-04 DIN
DIN_10_10_2011 7.006 4.56E-04 DIN
DIN_11_10_2011 0.004 4.56E-04 DIN
DIN_12_10_2011 4.065 4.56E-04 DIN
DIN_13_10_2011 8.202 4.56E-04 DIN
DIN_14_10_2011 0.004 4.56E-04 DIN
DIN_15_10_2011 0.004 4.56E-04 DIN
DIN_16_10_2011 13.015 4.56E-04 DIN
DIN_17_10_2011 0.004 4.56E-04 DIN
DIN_18_10_2011 0.004 4.56E-04 DIN
DIN_19_10_2011 3.182 4.56E-04 DIN
DIN_20_10_2011 0.004 4.56E-04 DIN
DIN_21_10_2011 0.004 4.56E-04 DIN
DIN_22_10_2011 5.933 4.56E-04 DIN
DIN_23_10_2011 11.757 4.56E-04 DIN
DIN_24_10_2011 1.796 4.56E-04 DIN
DIN_25_10_2011 7.439 4.56E-04 DIN
DIN_26_10_2011 6.681 4.56E-04 DIN
DIN_27_10_2011 1.250 4.56E-04 DIN
DIN_28_10_2011 4.856 4.56E-04 DIN
DIN_29_10_2011 1.142 4.56E-04 DIN
DIN_30_10_2011 0.354 4.56E-04 DIN
DIN_31_10_2011 10.768 4.56E-04 DIN
DIN_01_11_2011 4.699 4.56E-04 DIN
DIN_02_11_2011 2.474 4.56E-04 DIN
DIN_03_11_2011 9.708 4.56E-04 DIN
DIN_04_11_2011 14.505 4.56E-04 DIN
DIN_05_11_2011 0.004 4.56E-04 DIN
DIN_06_11_2011 1.743 4.56E-04 DIN
DIN_07_11_2011 8.168 4.56E-04 DIN
DIN_08_11_2011 0.004 4.56E-04 DIN
DIN_09_11_2011 0.004 4.56E-04 DIN
DIN_10_11_2011 0.004 4.56E-04 DIN
DIN_11_11_2011 0.004 4.56E-04 DIN
DIN_12_11_2011 0.004 4.56E-04 DIN
DIN_13_11_2011 3.039 4.56E-04 DIN
DIN_14_11_2011 3.150 4.56E-04 DIN
DIN_15_11_2011 0.004 4.56E-04 DIN
DIN_16_11_2011 7.228 4.56E-04 DIN
DIN_17_11_2011 12.007 4.56E-04 DIN
DIN_18_11_2011 0.004 4.56E-04 DIN
DIN_19_11_2011 4.041 4.56E-04 DIN
DIN_20_11_2011 0.838 4.56E-04 DIN
DIN_21_11_2011 1.049 4.56E-04 DIN
DIN_22_11_2011 14.449 4.56E-04 DIN
DIN_23_11_2011 0.004 4.56E-04 DIN
DIN_24_11_2011 0.004 4.56E-04 DIN
DIN_25_11_2011 5.105 4.56E-04 DIN
DIN_26_11_2011 0.004 4.56E-04 DIN
DIN_27_11_2011 0.004 4.56E-04 DIN
DIN_28_11_2011 2.098 4.56E-04 DIN
DIN_29_11_2011 6.026 4.56E-04 DIN
DIN_30_11_2011 4.214 4.56E-04 DIN
DIN_01_12_2011 2.189 4.56E-04 DIN
DIN_02_12_2011 2.216 4.56E-04 DIN
DIN_03_12_2011 8.458 4.56E-04 DIN
DIN_04_12_2011 4.578 4.56E-04 DIN
DIN_05_12_2011 13.633 4.56E-04 DIN
DIN_06_12_2011 15.265 4.56E-04 DIN
DIN_07_12_2011 19.886 4.56E-04 DIN
DIN_08_12_2011 51.312 4.56E-04 DIN
DIN_09_12_2011 37.826 4.56E-04 DIN
DIN_10_12_2011 49.938 4.56E-04 DIN
DIN_11_12_2011 80.542 4.56E-04 DIN
DIN_12_12_2011 89.697 4.56E-04 DIN
DIN_13_12_2011 87.017 4.56E-04 DIN
DIN_14_12_2011 77.139 4.56E-04 DIN
DIN_15_12_2011 74.349 4.56E-04 DIN
DIN_16_12_2011 55.450 4.56E-04 DIN
DIN_17_12_2011 38.889 4.56E-04 DIN
